183.265, 129.840, 4.842,  3.059 False
183.103, 129.842, 4.883,  3.092 False
182.939, 129.843, 4.924,  3.125 False
182.774, 129.845, 4.966,  3.158 False
182.607, 129.847, 5.008,  3.191 False
182.439, 129.849, 5.050,  3.224 False
182.270, 129.851, 5.092,  3.257 False
182.099, 129.853, 5.134,  3.290 False
181.927, 129.855, 5.177,  3.323 False
181.753, 129.857, 5.220,  3.356 False
181.578, 129.858, 5.262,  3.389 False
181.402, 129.860, 5.304,  3.422 False
181.224, 129.862, 5.341,  3.455 False
181.045, 129.864, 5.368,  3.488 False
180.866, 129.866, 5.381,  3.521 False
180.687, 129.868, 5.390,  3.554 False
180.507, 129.869, 5.402,  3.587 False
180.327, 129.871, 5.420,  3.620 False
180.146, 129.873, 5.442,  3.653 False
179.964, 129.875, 5.470,  3.686 False
179.780, 129.877, 5.504,  3.719 False
179.596, 129.878, 5.543,  3.752 False
179.410, 129.880, 5.587,  3.785 False
179.222, 129.882, 5.636,  3.818 False
179.033, 129.884, 5.691,  3.851 False
178.841, 129.886, 5.750,  3.884 False
178.648, 129.887, 5.813,  3.917 False
178.452, 129.889, 5.880,  3.950 False
178.254, 129.891, 5.951,  3.983 False
178.054, 129.893, 6.025,  4.016 False
177.850, 129.894, 6.104,  4.049 False
177.645, 129.896, 6.185,  4.082 False
177.436, 129.898, 6.264,  4.115 False
177.225, 129.900, 6.338,  4.148 False
177.012, 129.902, 6.408,  4.181 False
176.797, 129.903, 6.472,  4.214 False
176.580, 129.905, 6.530,  4.247 False
176.361, 129.907, 6.584,  4.280 False
176.140, 129.908, 6.633,  4.313 False
175.918, 129.910, 6.677,  4.346 False
175.694, 129.912, 6.718,  4.379 False
175.470, 129.913, 6.755,  4.412 False
175.244, 129.915, 6.789,  4.445 False
175.017, 129.917, 6.821,  4.478 False
174.789, 129.918, 6.851,  4.511 False
174.560, 129.920, 6.880,  4.544 False
174.330, 129.921, 6.909,  4.577 False
174.099, 129.923, 6.936,  4.610 False
173.867, 129.924, 6.964,  4.643 False
173.635, 129.926, 6.993,  4.676 False
173.401, 129.927, 7.023,  4.709 False
173.166, 129.929, 7.054,  4.742 False
172.930, 129.930, 7.086,  4.775 False
172.693, 129.931, 7.121,  4.808 False
172.455, 129.933, 7.158,  4.841 False
172.215, 129.934, 7.196,  4.874 False
171.974, 129.935, 7.237,  4.907 False
171.732, 129.937, 7.279,  4.940 False
171.488, 129.938, 7.322,  4.973 False
171.243, 129.939, 7.366,  5.006 False
170.996, 129.940, 7.410,  5.039 False
170.748, 129.941, 7.456,  5.072 False
170.498, 129.942, 7.501,  5.105 False
170.247, 129.943, 7.547,  5.138 False
169.994, 129.944, 7.594,  5.171 False
169.740, 129.945, 7.640,  5.204 False
169.484, 129.946, 7.687,  5.237 False
169.227, 129.947, 7.733,  5.270 False
168.968, 129.948, 7.779,  5.303 False
168.707, 129.949, 7.824,  5.336 False
168.445, 129.950, 7.868,  5.369 False
168.182, 129.950, 7.908,  5.402 False
167.918, 129.951, 7.946,  5.435 False
167.652, 129.952, 7.980,  5.468 False
167.385, 129.952, 8.010,  5.501 False
167.118, 129.953, 8.037,  5.534 False
166.849, 129.953, 8.058,  5.567 False
166.580, 129.954, 8.076,  5.600 False
166.311, 129.954, 8.089,  5.633 False
166.041, 129.955, 8.098,  5.666 False
165.772, 129.955, 8.103,  5.699 False
165.502, 129.955, 8.105,  5.732 False
165.232, 129.956, 8.104,  5.765 False
164.962, 129.956, 8.100,  5.798 False
164.692, 129.956, 8.094,  5.831 False
164.423, 129.957, 8.086,  5.864 False
164.154, 129.957, 8.077,  5.897 False
163.885, 129.957, 8.066,  5.930 False
163.617, 129.957, 8.055,  5.963 False
163.349, 129.957, 8.044,  5.996 False
163.081, 129.957, 8.032,  6.029 False
162.814, 129.958, 8.021,  6.062 False
162.547, 129.958, 8.011,  6.095 False
162.280, 129.958, 8.001,  6.128 False
162.014, 129.958, 7.992,  6.161 False
161.748, 129.958, 7.984,  6.194 False
161.482, 129.958, 7.978,  6.227 False
161.216, 129.958, 7.972,  6.260 False
160.950, 129.958, 7.967,  6.293 False
160.685, 129.958, 7.964,  6.326 False
160.419, 129.957, 7.961,  6.359 False
160.154, 129.957, 7.959,  6.392 False
159.889, 129.957, 7.959,  6.425 False
159.623, 129.957, 7.959,  6.458 False
159.358, 129.957, 7.960,  6.491 False
159.093, 129.957, 7.961,  6.524 False
158.827, 129.956, 7.963,  6.557 False
158.562, 129.956, 7.965,  6.590 False
158.296, 129.956, 7.968,  6.623 False
158.030, 129.956, 7.967,  6.656 False
157.765, 129.956, 7.949,  6.689 False
